,,,,,,,,,,,,,
ID,TÍTULO,AUTOR,ADITORIAL,"AÑO DE 
PUBLICACIÓN",ISBN,IDIOMA,CATEGORÍA,NIVEL LECTOR,ESTADO,"ÚLTIMO 
USUARIO","FECHA 
ÚLTIMO PRÉSTAMO",OBSERVACIONES,
64,El ratoncito desobediente,Ruth María Zapata Misad,Ediciones Coquito,2011,978-612-4000-32-4,Español,Comprensión Lectora,Infantil,Disponible,,,De 3 a 6 años,
65,Pinocho,Ediciones Culturales Marfil,La confianza,,,Español,Cuento,Infantil,Disponible,,,Desde 5 años,
66,Los tres cerditos y el lobo,Ediciones Culturales Marfil,La confianza,,,Español,Cuento,Infantil,Disponible,,,Desde 5 años,
67,La bella durmiente,Ediciones Culturales Marfil,La confianza,,,Español,Cuento,Infantil,Disponible,,,Desde 5 años,
68,La bella durmiente,Everardo Zapata Santillana,Coquito,2013,978-612-4000-67-6,Español,Cuento,Infantil,Disponible,,,Cuentos de oro,
69,El flautista de Hamelín,Miguel Carhuatocto,Didáctica,2013,978-603-4026-40-7,Español,Cuento,Infantil,Disponible,,,Mi primer cuento,
70,El gigante egoísta,Miguel Carhuatocto,Didáctica,2015,978-603-4026-47-6,Español,Cuento,Infantil,Disponible,,,Mi primer cuento,
71,El patito encantado,,Navarrete,2009,9972-59-081-X,Español,Cuento,Infantil,Disponible,,,Colección Edina,
72,Pinocho,Corporación Nehemías,Didáctica,2007,978-9972-225-48-9,Español,Cuento,Infantil,Disponible,,,Mis clásicos favoritos,
73,La Sirenita,Miguel Carhuatocto,Didáctica,2007,978-603-4026-63-6,Español,Cuento,Infantil,Disponible,,,Mis clásicos favoritos,
74,Pokémon Juegos y desafíos,,Penguin,2017,978-958-5407-02-2,Español,Juegos,Infantil,Disponible,,,,
75,¡Mío!,Yang Dong,Picarona,2018,978-84-9145-198-5,Español,Cuento,Infantil,Disponible,,,Desde 3 años,
76,Sofía Alegría: Experta en unicornios,Morag Hood y Ella Okstad,ANAYA,2018,978-84-697-4739-1,Español,Cuento,Infantil,Disponible,,,Desde 3 años,
77,El mejor abrazo del mundo,Sarah Nash y Daniel Howarth,Panamericana,2005,978-958-30-2239-5,Español,Cuento,Infantil,Disponible,,,Desde 3 años,
78,Libro de la preguntas de Barrio Sésamo: Los Sentidos,Cuatro Media Inc,Folio,2008,978-84-413-2600-2,Español,Informativo,Infantil,Disponible,,,Desde 5 años,
79,Libro de la preguntas de Barrio Sésamo: La Naturaleza,Cuatro Media Inc,Folio,2008,978-84-413-2603-3,Español,Informativo,Infantil,Disponible,,,Desde 5 años,
80,Luisito y Lucía: Razonamiento de lectura Coquito,Everardo Zapata Santillana,Futuro,2015,978-9972-203-29-9,Español,Comprensión Lectora,Infantil,Disponible,,,Desde 5 años,
81,Coquito: Prematemática 3,Ruth María Zapata Misad,Dene,2014,978-612-46611-0-5,Español,Matemáticas,Infantil,Disponible,,,Desde 5 años,
82,Mi primer libro de inglés: La famiia y números,Sigue tu camino,,2013,978-612-46391-8-0,Inglés,Idiomas,Infantil,Disponible,,,Desde 5 años,
83,Mi primer libro de inglés: Los animales y las formas,Sigue tu camino,,2013,978-612-46391-9-7,Inglés,Idiomas,Infantil,Disponible,,,Desde 5 años,
84,Mi primer libro de inglés: Mi cuerpo,Sigue tu camino,,2013,978-612-4197-00-0,Inglés,Idiomas,Infantil,Disponible,,,Desde 5 años,
85,Mi primer libro de inglés: El clima y los colores,Sigue tu camino,,2013,978-612-46391-7-3,Inglés,Idiomas,Infantil,Disponible,,,Desde 5 años,
86,Mi primer libro de inglés: Los nombres y el abecedario,Sigue tu camino,,2013,978-612-46391-6-6,Inglés,Idiomas,Infantil,Disponible,,,Desde 5 años,
87,Jugando en la selva,,Lexus,,978-85-380-6176-2,Español,Animales y hábitats,Infantil,Disponible,,,Desde 3 años,
88,Jugando en el mar,,Lexus,,978-85-380-6177-9,Español,Animales y hábitats,Infantil,Disponible,,,Desde 3 años,
89,"Looney Tunes: Sam Bigotes, el terror en miniatura",Warner Bros,Sol90,2013,978-84-15667-89-6,Español,Historieta,Infantil,Disponible,,,Desde 5 años,
90,"Looney Tunes: Pato Lucas, gruñón y chiflado",Warner Bros,Sol90,2013,978-84-15667-87-2,Español,Historieta,Infantil,Disponible,,,Desde 5 años,
91,Cuentos de la granja,María Mañeru,LIBSA,,978-84-662-3557-0,Español,Cuento,Infantil,Disponible,,,Desde 3 años,
92,Plaza Sésamo: Aprende a contar con el conde,Sésame Workshop,COSAR,2009,,Español,Matemáticas,Infantil,Disponible,,,"Cuaderno borrable de actividades, desde 3 años",
93,Reptiles (3D),Animal Planet,3J,,978-958-8754-83-3,Español,Animales y hábitats,Infantil,Disponible,,,Desde 5 años,
94,Ferrari,Panini España,Panini,,,Español,Informativo,Infantil,Disponible,,,Desde 5 años,
95,¿Quieres leer un cuento hoy?,Mónica Esparza Patiño,Paulinas,2008,978-9972-05--069-5,Español,Cuento,Infantil,Disponible,,,Un cuento para cada día,
96,El volador invencible,Jorge Eslava,Alfaguara,,978-9972-00-345-5,Español,Cuento,Infantil,Disponible,,,Desde 8 años,
97,Phineas y Ferb: ¡Gracias Perry!,Disney,Vértice,2013,978-987-681-763-9,Español,Historieta,Infantil,Disponible,,,Desde 5 años,
98,Lindos cuentos y la Comprensión de lectura (básica),,Chirre S.A.,2009,978-9972-08-009-8,Español,Cuento,Infantil,Disponible,,,Desde 5 años,
99,Cuentos Escogidos de la literatura universal  1,Everardo Zapata Santillana,Futuro,2018,978-9972-203-57-2,Español,Cuento,Infantil,Disponible,,,Desde 5 años,
100,Cuentos Escogidos de la literatura universal  2,Everardo Zapata Santillana,Futuro,2018,978-9972-203-58-9,Español,Cuento,Infantil,Disponible,,,Desde 5 años,
101,Cuentos Escogidos de la literatura universal  3,Everardo Zapata Santillana,Futuro,2018,978-9972-203-59-6,Español,Cuento,Infantil,Disponible,,,Desde 5 años,
102,Cuentos Escogidos de la literatura universal  4,Everardo Zapata Santillana,Futuro,2018,978-9972-203-60-2,Español,Cuento,Infantil,Disponible,,,Desde 5 años,
103,Cuentos Escogidos de la literatura universal  5,Everardo Zapata Santillana,Futuro,2018,978-9972-203-61-9,Español,Cuento,Infantil,Disponible,,,Desde 5 años,
104,Cuentos Escogidos de la literatura universal  6,Everardo Zapata Santillana,Futuro,2018,978-9972-203-62-6,Español,Cuento,Infantil,Disponible,,,Desde 5 años,
105,El mundo de Gabriela: Protege la naturaleza,Simeon Marinkovic,Panamericana,2012,978-958-30-3900-3,Español,Cuento,Infantil,Disponible,,,Desde 5 años,
